"0","1"
"Alymsys","Leukopenia|Neutropenia|Diarrhea|Abdominal pain|Constipation|Hypertension|Deep vein thrombosis|Intra-abdominal thrombosis|Syncope|Asthenia|Pain|a NCI-CTC version 3"
"Alyq","EVENT|Headache|Myalgia|Nasopharyngitis|Flushing|Respiratory Tract Infection (Upper and Lower)|Pain in Extremity|Nausea|Back Pain|Dyspepsia|Nasal Congestion (Including sinus congestion)"
"Amaryl","Headache|Accidental InjuryInsufficient information to determine whether any of the accidental injury events were associated with hypoglycemia|Flu Syndrome|Nausea|Dizziness"
"Ambien Cr","Infections and infestations|Influenza|Gastroenteritis|Labyrinthitis|Metabolism and nutrition disorders|Appetite disorder|Psychiatric disorders|HallucinationsHallucinations included hallucinations NOS as well as visual and hypnagogic hallucinations.|Disorientation|Anxiety|Depression|Psychomotor retardation|Binge eating|Depersonalization|Disinhibition|Euphoric mood|Mood swings|Stress symptoms|Nervous system disorders|Headache|Somnolence|Dizziness|Memory disordersMemory disorders include: memory impairment, amnesia, anterograde amnesia.|Balance disorder|Disturbance in attention|Hypoesthesia|Ataxia|Paresthesia|Eye disorders|Visual disturbance|Eye redness|Vision blurred|Altered visual depth perception|Asthenopia|Ear and labyrinth disorders|Vertigo|Tinnitus|Respiratory, thoracic and mediastinal disorders|Throat irritation|Gastrointestinal disorders|Nausea|Constipation|Abdominal discomfort|Abdominal tenderness|Frequent bowel movements|Gastroesophageal reflux disease|Vomiting|Skin and subcutaneous tissue disorders|Rash|Skin wrinkling|Urticaria|Musculoskeletal and connective tissue disorders|Back pain|Myalgia|Neck pain|Reproductive system and breast disorders|Menorrhagia|General disorders and administration site conditions|Fatigue|Asthenia|Chest discomfort|Investigations|Blood pressure increased|Body temperature increased|Injury, poisoning and procedural complications|Contusion|Social circumstances|Exposure to poisonous plant"
"Ambisome","Abdominal painAstheniaBack painBlood product transfusion reactionChillsInfectionPainSepsis|Chest painHypertensionHypotensionTachycardia|DiarrheaGastrointestinal hemorrhageNauseaVomiting|Alkaline phosphatase increasedALT (SGPT) increasedAST (SGOT) increasedBilirubinemiaBUN increasedCreatinine increasedEdemaHyperglycemiaHypernatremiaHypervolemiaHypocalcemiaHypokalemiaHypomagnesemiaPeripheral edema|AnxietyConfusionHeadacheInsomnia|Cough increasedDyspneaEpistaxisHypoxiaLung disorderPleural effusionRhinitis|PruritusRashSweating|Hematuria"
"Ambrisentan","Peripheral edema|Nasal congestion|Sinusitis|Flushing"
"Ameluz","ErythemaPain/BurningIrritationEdemaPruritusExfoliationScabIndurationVesiclesParesthesiaHyperalgesiaReactionDiscomfortErosionDischargeBleedingPustules"
"Amerge","Atypical sensation|Paresthesias (all types)|Gastrointestinal|Nausea|Neurological|Dizziness|Drowsiness|Malaise/fatigue|Pain and pressure sensation|Throat/neck symptoms"
"Amiloride Hydrochloride","Cardiovascular|Digestive|Skin|Musculoskeletal|Nervous|Psychiatric|Respiratory|Dyspnea|Special Senses|Urogenital"
"Amiloride Hydrochloride And Hydrochlorothiazide","Cardiovascular|Digestive|Metabolic|Musculoskeletal|Nervous|Respiratory|Skin|Special Senses|Urogenital"
"Aminophylline","Sign/Symptom|Gastrointestinal|Vomiting|Metabolic/Other|Hypokalemia|Hyperglycemia|Acid/base disturbance|Cardiovascular|Sinus tachycardia|Other supraventricular|tachycardias|Ventricular premature beats|Atrial fibrillation or flutter|Multifocal atrial tachycardia|Ventricular arrhythmias with|hemodynamic instability|Neurologic|Tremors|Seizures|Death"
"Amiodarone Hydrochloride","Fever|Cardiovascular System|Bradycardia|Congestive heart failure|Heart arrest|Hypotension|Ventricular tachycardia|Digestive System|Liver function tests abnormal|Nausea|Study Event"
"Amitiza","Nausea|Diarrhea|Headache|Abdominal pain|Abdominal distension|Flatulence|Vomiting|Loose stools|Edema|Abdominal discomfortThis term combines abdominal tenderness, abdominal rigidity, gastrointestinal discomfort, stomach discomfort, and abdominal discomfort.|Dizziness|Chest discomfort/pain|Dyspnea|Dyspepsia|Fatigue|Dry mouth"
"Amlodipine And Atorvastatin","Edema|Dizziness|Flushing|Palpitations"
"Amlodipine And Benazepril Hydrochloride","Cough|Headache|Dizziness|Edema*"
"Amlodipine And Olmesartan Medoxomil","Amlodipine"
"Amlodipine Besylate","Edema|Dizziness|Flushing|Palpitation|Edema Dizziness Flushing Palpitation"
"Amlodipine Besylate 2.5 Mg","Edema|Dizziness|Flushing|Palpitation"
"Amlodipine Besylate And Atorvastatin Calcium","Edema|Dizziness|Flushing|Palpitations"
"Amlodipine Besylate And Benazepril Hydrochloride","Cough|Headache|Dizziness|Edema Edema refers to all edema, such as dependent edema, angioedema, facial edema.|Edema*|EdemaEdema refers to all edema, such as dependent edema, angioedema, facial edema.|Edema"
"Amlodipine Besylate And Olmesartran Medoxomil","Amlodipine"
"Amlodipine, Valsartan And Hydrochlorothiazide","Dizziness|Edema|Headache|Dyspepsia|Fatigue|Muscle spasms|Back pain|Nausea|Nasopharyngitis"
"Amlodipine, Valsartan, Hydrochlorothiazide","Dizziness|Edema|Headache|Dyspepsia|Fatigue|Muscle spasms|Back pain|Nausea|Nasopharyngitis"
"Ammonul","Blood and lymphatic system disorders|Anemia|Disseminated intravascular coagulation|Cardiac disorders|Gastrointestinal disorders|Diarrhea|Nausea|Vomiting|General disorders and administration-site conditions|Injection-site reaction|Pyrexia|Infections|Urinary tract infection|Injury, poisoning and procedural complications|Investigations|Metabolism and nutrition disorders|Acidosis|Hyperammonemia|Hyperglycemia|Hypocalcemia|Hypokalemia|Metabolic acidosis|Nervous system disorders|Brain edema|Coma|Convulsions|Mental impairment|Psychiatric disorders|Agitation|Renal and urinary disorders|Respiratory, thoracic and mediastinal disorders|Respiratory distress|Skin and subcutaneous tissue disorders|Vascular disorders|Hypotension"
"Amondys 45","Upper Respiratory Tract Infections*|Cough|Pyrexia|Headache|Arthralgia|Oropharyngeal Pain"
"Amphotericin B","Abdominal pain|Asthenia|Back pain|Blood product transfusion reaction|Chills|Infection|Pain|Sepsis|Chest pain|Hypertension|Hypotension|Tachycardia|Diarrhea|Gastrointestinal hemorrhage|Nausea|Vomiting|Alkaline phosphatase increased|ALT (SGPT) increased|AST (SGOT) increased|Bilirubinemia|BUN increased|Creatinine increased|Edema|Hyperglycemia|Hypernatremia|Hypervolemia|Hypocalcemia|Hypokalemia|Hypomagnesemia|Peripheral edema|Anxiety|Confusion|Headache|Insomnia|Cough increased|Dyspnea|Epistaxis|Hypoxia|Lung disorder|Pleural effusion|Rhinitis|Pruritus|Rash|Sweating|Hematuria"
"Ampyra","Urinary tract infection|Insomnia|Dizziness|Headache|Nausea|Asthenia|Back pain|Balance disorder|Multiple sclerosis relapse|Paresthesia|Nasopharyngitis|Constipation|Dyspepsia|Pharyngolaryngeal pain"
"Amrix","Dry mouth|Dizziness|Fatigue|Constipation|Somnolence|Nausea|Dyspepsia"
"Amyvid","Headache|Musculoskeletal pain|Blood pressure increaseda|Nausea|Fatigue|Injection site reactionb|Anxiety|Back pain|Claustrophobia|Dizziness|Feeling coldc|Insomnia|Neck pain"
"Amzeeq","Erythema|Dryness|HyperpigmentationHyperpigmentation was most frequently assessed as characteristic of inflammatory and post-inflammatory changes associated with acne.|Skin Peeling|Itching"
"Anafranil","Nervous System|Somnolence|Tremor|Dizziness|Headache|Insomnia|Libido change|Nervousness|Myoclonus|Increased appetite|Paresthesia|Memory impairment|Anxiety|Twitching|Impaired concentration|Depression|Hypertonia|Sleep disorder|Psychosomatic disorder|Yawning|Confusion|Speech disorder|Abnormal dreaming|Agitation|Migraine|Depersonalization|Emotional lability|Panic reaction|Aggressive reaction|Paresis|Skin and Appendages|Increased sweating|Rash|Pruritus|Dermatitis|Acne|Dry skin|Urticaria|Abnormal skin odor|Digestive System|Dry mouth|Constipation|Nausea|Dyspepsia|Diarrhea|Anorexia|Abdominal pain|Vomiting|Flatulence|Tooth disorder|Gastrointestinal disorder|Dysphagia|Esophagitis|Eructation|Ulcerative stomatitis|Fatigue|Weight increase|Flushing|Hot flushes|Chest pain|Fever|Allergy|Pain|Local edema|Chills|Weight decrease|Otitis media|Asthenia|Halitosis|Cardiovascular System|Postural hypotension|Palpitation|Tachycardia|Syncope|Respiratory System|Pharyngitis|Rhinitis|Sinusitis|Coughing|Bronchospasm|Epistaxis|Dyspnea|Laryngitis|Urogenital System|Micturition disorder|Urinary tract infection|Micturition frequency|Urinary retention|Dysuria|Cystitis|Female Patients Only|Dysmenorrhea|Lactation (nonpuerperal)|Menstrual disorder|Vaginitis|Leukorrhea|Breast enlargement|Breast pain|Amenorrhea|Male Patients Only|Ejaculation failure|Impotence|Special Senses|Abnormal vision|Taste perversion|Tinnitus|Abnormal lacrimation|Mydriasis|Conjunctivitis|Anisocoria|Blepharospasm|Ocular allergy|Vestibular disorder|Musculoskeletal|Myalgia|Back pain|Arthralgia|Muscle weakness|Hemic and Lymphatic|Purpura|Anemia|Metabolic and Nutritional|Thirst"
"Anagrelide Hydrochloride","Cardiac disorders|Palpitations|Tachycardia|Chest pain|General disorders and administration site conditions|Asthenia|Edema|Pain|Fever|Peripheral edema|Malaise|Gastrointestinal disorders|Diarrhea|Nausea|Abdominal pain|Vomiting|Flatulence|Anorexia|Dyspepsia|Respiratory, thoracic and mediastinal disorders|Dyspnea|Cough|Skin and subcutaneous tissue disorders|Rash|Pruritus|Musculoskeletal and connective tissue disorders|Back pain|Nervous system disorders|Headache|Dizziness|Paresthesia"
"Anastrozole","Asthenia|Pain|Back pain|Headache|Abdominal pain|Infection|Accidental injury|Flu syndrome|Chest pain|Neoplasm|Cyst|Vasodilatation|Hypertension|Nausea|Constipation|Diarrhea|Dyspepsia|Gastrointestinal disorder|Lymphedema|Anemia|Peripheral edema|Weight gain|Hypercholesterolemia|Arthritis|Arthralgia|Osteoporosis|Fracture|Bone pain|Arthrosis|Joint Disorder|Myalgia|Depression|Insomnia|Dizziness|Anxiety|Paresthesia|Pharyngitis|Cough increased|Dyspnea|Sinusitis|Bronchitis|Rash|Sweating|Cataract Specified|Leukorrhea|Urinary tract infection|Breast pain|Breast Neoplasm|Vulvovaginitis|Vaginal HemorrhageVaginal Hemorrhage without further diagnosis.|Vaginitis|Vaginal Hemorrhage Vaginal Hemorrhage without further diagnosis.|Digestive|Vaginal HemorrhageÂ¶|Cardiovascular|Hemic and lymphatic|Metabolic and nutritional|Musculoskeletal|Nervous system|Respiratory|Skin and appendages|Special Senses|Urogenital|Vaginal Hemorrhage Â¶"
"Androderm","Application site pruritus|Application site vesicles|Back pain"
"Androgel","Acne|Alopecia|Application Site Reaction|Asthenia|Depression|Emotional Lability|Gynecomastia|Headache|Hypertension|Lab Test Abnormal*|Libido Decreased|Nervousness|Pain Breast|Prostate Disorder**|Testis Disorder***|PSA increased*|Emotional lability**|Hematocrit or hemoglobin increased|Contact dermatitis***"
"Angeliq","Gastrointestinal and abdominal painsGastrointestinal and abdominal pain includes: abdominal pain (overall, lower, and upper), abdominal discomfort, abdominal tenderness|Headache|Vulvovaginal fungal infections|Breast painBreast pain includes: breast pain, breast tenderness, nipple pain|Nausea|Diarrhea|Peripheral Edema"
"Annovera","Headache, including migraine|Nausea/vomiting|Vulvovaginal mycotic infection/vaginal candidiasis|Abdominal pain/lower/upper|Dysmenorrhea|Vaginal discharge|UTI/cystitis/pyelonephritis/genitourinary tract infection|Breast pain/tenderness/discomfort|Metrorrhagia/menstrual disorder|Diarrhea|Genital pruritus"
"Anoro Ellipta","Infections and infestations|Pharyngitis|Sinusitis|Lower respiratory tract infection|Gastrointestinal disorders|Constipation|Diarrhea|Musculoskeletal and connective tissue disorders|Pain in extremity|Muscle spasms|Neck pain|General disorders and administration site conditions|Chest pain"
"Antara","Abdominal Pain|Back Pain|Headache|Abnormal Liver Function Tests|Nausea|Constipation|Increased AST|Increased ALT|Increased Creatine Phosphokinase|Respiratory Disorder|Rhinitis"
"Anthim","Headache|Pruritus|Infections of the upper respiratory tract|Cough|Vessel puncture site bruise|Infusion site swelling|Nasal congestion|Infusion site pain|Urticaria|Pain in extremity"
"Anzemet","Event|Headache|Fatigue|Diarrhea|Bradycardia|Dizziness|Pain|Tachycardia|Dyspepsia|Chills/Shivering"
"Apidra","Nasopharyngitis|HypoglycemiaOnly severe symptomatic hypoglycemia|Upper respiratory tract infection|Influenza"
"Apixaban","Major â€ |Intracranial(ICH)â€¡|Hemorrhagic strokeÂ§|Other ICH|Gastrointestinal(GI)Â¶|Fatal**|Intracranial|Non-intracranial"
"Apokyn","Yawning|Dyskinesias|Drowsiness or Somnolence|Nausea and/or Vomiting|Dizziness or Postural Hypotension|Rhinorrhea|Chest Pain/Pressure/Angina|Hallucination or Confusion|Edema/Swelling of Extremities"
"Apomorphine Hydrocloride","Yawning|Dyskinesias|Drowsiness or Somnolence|Nausea and/or Vomiting|Dizziness or Postural Hypotension|Rhinorrhea|Chest Pain/Pressure/Angina|Hallucination or Confusion|Edema/Swelling of Extremities"
"Apremilast","Diarrhea|Nausea|Upper respiratory tract infection|Tension headache|Headache|Abdominal pain*|Vomiting|Fatigue|Dyspepsia|Decreased appetite|Insomnia|Back pain|Migraine|Frequent bowel movements|Depression|Bronchitis|Tooth abscess|Folliculitis|Sinus headache"
"Aprepitant","fatigue|diarrhea|asthenia|dyspepsia|abdominal pain|hiccups|white blood cell count decreased|dehydration|alanine aminotransferase increased"
"Apretude","Injection site reactionsb|Diarrhea|Headache|Pyrexiac|Fatigued|Sleep disorderse|Nausea|Dizziness|Flatulence|Abdominal painf|Vomiting|Myalgia|Rashg|Decreased appetite|Somnolence|Back pain|Upper respiratory tract infection"
"Apriso","Headache|Diarrhea|Abdominal Pain Upper|Nausea|Nasopharyngitis|Influenza & Influenza-like illness|Sinusitis"
"Aptensio Xr","Nervous System Disorders|Headache|Insomnia|Dizziness|Gastrointestinal Disorders|Abdominal pain upper|Nausea|Vomiting|Metabolism and Nutritional|Decreased Appetite"
"Aptiom","Ear and labyrinth disorders Vertigo|Eye disorders Diplopia Blurred vision Visual impairment|Gastrointestinal disorders Nausea Vomiting Diarrhea Constipation Abdominal pain Gastritis|General disorders and administration site conditions Fatigue Asthenia Gait disturbance Peripheral edema|Infections and Infestations Urinary tract infections|Injury, poisoning and procedural complications Fall|Metabolism and nutrition disorders Hyponatremia|Nervous system disorders Dizziness Somnolence Headache Ataxia Balance disorder Tremor Dysarthria Memory impairment Nystagmus|Psychiatric disorders Depression Insomnia|Respiratory, thoracic and mediastinal disorders Cough|Skin and subcutaneous tissue disorders Rash|Vascular disorders Hypertension"
"Aptivus","Blood and Lymphatic Disorders|Anemia|Neutropenia|Gastrointestinal Disorders|Diarrhea|Nausea|Vomiting|Abdominal pain|Abdominal pain upper|General Disorders|Pyrexia|Fatigue|Investigations|Weight decreased|ALT increased|GGT increased|Metabolism and Nutrition Disorders|Hypertriglyceridemia|Hyperlipidemia|Dehydration|Musculoskeletal and Connective Tissue Disorders|Myalgia|Nervous System Disorders|Headache|Peripheral neuropathy|Psychiatric Disorders|Insomnia|Respiratory, Thoracic and Mediastinal Disorders|Dyspnea|Skin and Subcutaneous Tissue Disorders|Rash|bComparator PI/ritonavir: lopinavir/ritonavir 400/100 mg BID, indinavir/ritonavir 800/100 mg BID, saquinavir/ritonavir 1000/100 mg BID, amprenavir/ritonavir 600/100 mg BID"
"Arakoda","Nervous system Disorders|Headache3|Dizziness4|Musculoskeletal and connective tissue disorders|Back pain|Gastrointestinal disorders|Diarrhea|Nausea|Vomiting|Investigations|Alanine Aminotransferase (ALT) increased/abnormal|Psychiatric disorders|Any sleep symptom5|Insomnia|Depression/depressed mood"
"Aranesp","Hypertension|Dyspnea|Peripheral edema|Cough|Procedural hypotension|Angina pectoris|Vascular access complications|Fluid overload|Rash/Erythema|Arteriovenous graft thrombosis"
